"Reeks","Wedstrijdnr","Datum","Uur","Thuis","Bezoekers","Sporthall","Uitslag","Setstanden","Uitslag reserven","Setstanden reserven"
"U11 Meisjes 2e Provinciale C 2-2","U11M2PC 2-2-0013","06/10/2018","10:00","JEUGDVOLLEYBAL LONDERZEEL A","VBT MACHELEN B","Sportcentrum Blauvenne, Londerzeel","","","",""
"U15 Jongens 1e Provinciale","U15J1P-15","06/10/2018","11:45","VBT MACHELEN A","VOLLEY HAASRODE LEUVEN (VHL) A","Sporthal Bosveld, Machelen","","","",""
"U13 Jongens 2e Provinciale C","U13J2PC-0030","06/10/2018","11:45","VBT MACHELEN B","VCV LEEFDAAL-BERTEM C","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 1e Provinciale B","U13M1PB-0015","06/10/2018","12:30","GOVOK CAMMAERT GOOIK  VZW A","VBT MACHELEN A","Sporthal Koornmolen, Gooik","","","",""
"U13 Jongens 1e Provincale B ","U13J1PB-0014","06/10/2018","14:00","LIZARDS LUBBEEK-LEUVEN","VBT MACHELEN A","Sporthal Lubbeek","","","",""
"U11 Jongens 2e Provinciale C 2-2","U11J2PC 2-2-0014","06/10/2018","14:00","VBT MACHELEN B","VOLLEY SCHEPDAAL VZW B","Sporthal Bosveld, Machelen","","","",""
"U15 Meisjes 2e Provinciale C","U15M2PC-0028","06/10/2018","14:00","VBT MACHELEN B","VCV LEEFDAAL-BERTEM B","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale A","U13M2PA-0014","06/10/2018","14:00","VBT MACHELEN B","LINDEMANS AALST","Sporthal Bosveld, Machelen","","","",""
"U19 Meisjes 2e Provinciale","U19M2P-0023","06/10/2018","15:30","DA@MET LIEDEKERKE","VBT MACHELEN","Sporthal Heuvelkouter, Liedekerke","","","",""
"3de Provinciale Mannen A","3PMA-0022","06/10/2018","16:00","VC LENNIK HEREN B","VBT MACHELEN C","Gem. Sporthal Jo Baetens, Lennik","","","",""
"U17 Meisjes 2e Provinciale D","U17M2PD-0019","06/10/2018","16:00","GRIVOK GRIMBERGEN B","VBT MACHELEN","Gem. Sporthal Prinsenbos, Grimbergen","","","",""
"U11 Meisjes 1e Provinciale B 2-2","U11M1PB 2-2-0014","06/10/2018","16:00","VBT MACHELEN A","KRUIKENBURG TERNAT B","Sporthal Bosveld, Machelen","","","",""
"U15 Meisjes 2e Provinciale B","U15M2PB-0014","06/10/2018","17:00","VC KNØDDE MEISE","VBT MACHELEN A","Sporthal Meise","","","",""
"2de Provinciale Mannen B","2PMB-0020","06/10/2018","17:30","AVO WEMMEL","VBT MACHELEN B","Gemeentelijke Sporthal, Wemmel","","","",""
"3de Provinciale Vrouwen D","3PVD-0022","06/10/2018","18:00","VBT MACHELEN B","VC KNØDDE MEISE B","Sporthal Bosveld, Machelen","","","",""
"2de Provinciale Vrouwen B","2PVB-0024","06/10/2018","20:30","VBT MACHELEN A","DAVOC LOT","Sporthal Bosveld, Machelen","","","",""
"U11 Jongens 1e Provinciale B 2-2","U11J1PB 2-2-0014","07/10/2018","09:30","VELVOC A","VBT MACHELEN A","Warotzaal, Winksele","","","",""
"Jeugdbeker VLBR U15 Meisjes","JBVLBR U15M-002","10/10/2018","19:00","LIZARDS LUBBEEK-LEUVEN","VBT MACHELEN","Sporthal Korbeek-Lo","","","",""
