Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,Uitslag,Setstanden,Uitslag reserven,Setstanden reserven
3de Provinciale Mannen A,3PMA-0073,12/01/2019,20:00,VBT MACHELEN C,VC LENNIK HEREN A,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0081,20/01/2019,14:30,LIZARDS LUBBEEK-LEUVEN D,VBT MACHELEN C,Sporthal Korbeek-Lo,,,,
3de Provinciale Mannen A,3PMA-0097,16/02/2019,20:00,VBT MACHELEN C,V.C. ZAVATH ZAVENTEM,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0103,23/02/2019,20:00,KLB SOLLENBEEMD HALLE,VBT MACHELEN C,"Sportcomplex De Bres, Halle",,,,
3de Provinciale Mannen A,3PMA-0095,10/03/2019,18:00,VC FENIKS HAACHT E,VBT MACHELEN C,"Sportcomplex Den Dijk, Haacht (Wespelaar)",,,,
3de Provinciale Mannen A,3PMA-0109,16/03/2019,17:00,VBT MACHELEN C,WOLVERTEM SPORTING B,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Mannen A,3PMA-0115,22/03/2019,20:30,DAVOC LOT C,VBT MACHELEN C,"Vogelenzang, Lot",,,,
3de Provinciale Mannen A,3PMA-0121,30/03/2019,20:00,VOLLEY SCHEPDAAL VZW B,VBT MACHELEN C,"Sporthal Caerenbergveld, Schepdaal",,,,
3de Provinciale Mannen A,3PMA-0127,06/04/2019,20:30,VBT MACHELEN C,VOLLEY OPWIJK - LINDEMANS AALST,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Vrouwen B,2PVB-0012,22/09/2018,20:30,VBT MACHELEN A,RUISBROEK 84 A,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Vrouwen B,2PVB-0016,29/09/2018,20:30,WOLVERTEM SPORTING A,VBT MACHELEN A,"Sportschuur, Wolvertem",,,,
2de Provinciale Vrouwen B,2PVB-0024,06/10/2018,20:30,VBT MACHELEN A,DAVOC LOT,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Vrouwen B,2PVB-0026,13/10/2018,20:00,VOLLEY BELLINGEN HALLE A,VBT MACHELEN A,"Sportcomplex De Bres, Halle",,,,
2de Provinciale Vrouwen B,2PVB-0036,20/10/2018,20:30,VBT MACHELEN A,VC ETERNIT KAPELLE O/D BOS A,"Sporthal Bosveld, Machelen",,,,
